gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1250,256,2048,1536,4096,flydsl,401,1,13.2747,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1941.27,1579.81,0.0
gfx1250,256,4096,1536,4096,flydsl,401,1,16.5072,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3122.25,2159.76,0.0
gfx1250,256,8192,1536,4096,flydsl,401,1,26.022,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3961.23,2498.34,0.0
gfx1250,256,16384,1536,4096,flydsl,401,1,53.2465,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3871.77,2323.76,0.0
gfx1250,256,32768,1536,4096,flydsl,401,1,99.0265,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4163.7,2435.43,0.0
gfx1250,256,16,8192,1024,flydsl,6,1,3.8571,flydsl_blockscale_bpreshuffle_wmma_t16x32x512_mw1_nw2_nb2_sk1_cm1_cn1,69.6,2247.06,0.0
gfx1250,256,32,8192,1024,flydsl,83,1,3.9317,flydsl_blockscale_bpreshuffle_wmma_t32x32x512_mw2_nw2_nb2_sk1_cm1_cn1,136.55,2275.27,0.0
gfx1250,256,64,8192,1024,flydsl,204,1,4.4178,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb2_sk1_cm1_cn1,243.05,2151.01,0.0
gfx1250,256,128,8192,1024,flydsl,217,1,4.959,flydsl_blockscale_bpreshuffle_wmma_t64x64x256_mw2_nw2_nb3_sk1_cm1_cn1,433.05,2140.92,0.0
gfx1250,256,256,8192,1024,flydsl,239,1,5.5279,flydsl_blockscale_bpreshuffle_wmma_t64x128x256_mw2_nw2_nb3_sk1_cm1_cn1,776.96,2323.68,0.0
gfx1250,256,512,8192,1024,flydsl,68,1,6.5392,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1313.61,2645.81,0.0
gfx1250,256,1024,8192,1024,flydsl,68,1,7.7965,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,2203.54,3362.33,0.0
gfx1250,256,2048,8192,1024,flydsl,68,1,11.195,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3069.2,3933.92,0.0
gfx1250,256,4096,8192,1024,flydsl,68,1,19.4469,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3533.7,4097.92,0.0
gfx1250,256,8192,8192,1024,flydsl,68,1,39.7613,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3456.6,3797.54,0.0
gfx1250,256,16384,8192,1024,flydsl,68,1,82.6918,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3324.13,3550.55,0.0
gfx1250,256,32768,8192,1024,flydsl,68,1,158.1093,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3477.06,3660.85,0.0
gfx1250,256,16,32768,1024,flydsl,12,1,5.6385,flydsl_blockscale_bpreshuffle_wmma_t16x128x512_mw1_nw4_nb2_sk1_cm1_cn1,190.43,6139.82,0.0
gfx1250,256,32,32768,1024,flydsl,33,1,5.9593,flydsl_blockscale_bpreshuffle_wmma_t32x128x512_mw2_nw2_nb2_sk1_cm1_cn1,360.36,5988.01,0.0
gfx1250,256,64,32768,1024,flydsl,52,1,5.9207,flydsl_blockscale_bpreshuffle_wmma_t64x128x512_mw1_nw4_nb2_sk1_cm1_cn1,725.42,6386.79,0.0
gfx1250,256,128,32768,1024,flydsl,68,1,6.7286,flydsl_blockscale_bpreshuffle_wmma_t128x128x512_mw2_nw2_nb2_sk1_cm1_cn1,1276.63,6253.03,0.0
gfx1250,256,256,32768,1024,flydsl,68,1,11.8583,flydsl_blockscale_bpreshuffle_wmma_t128x128x512_mw2_nw2_nb2_sk1_cm1_cn1,1448.76,4266.53,0.0
gfx1250,256,512,32768,1024,flydsl,240,1,21.1117,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1627.52,3203.59,0.0
gfx1250,256,1024,32768,1024,flydsl,240,1,39.0765,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1758.59,2602.89,0.0
gfx1250,256,2048,32768,1024,flydsl,240,1,54.7002,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,2512.59,3105.46,0.0
gfx1250,256,4096,32768,1024,flydsl,240,1,89.9499,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3055.9,3403.94,0.0
gfx1250,256,8192,32768,1024,flydsl,240,1,168.6879,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3259.01,3431.27,0.0
gfx1250,256,16384,32768,1024,flydsl,240,1,331.671,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3315.07,3389.12,0.0
gfx1250,256,32768,32768,1024,flydsl,240,1,664.9429,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3307.09,3330.5,0.0
gfx1250,256,16,4096,8192,flydsl,11,1,7.5142,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb4_sk1_cm1_cn1,142.9,4500.36,0.0
gfx1250,256,32,4096,8192,flydsl,87,1,7.2384,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb3_sk1_cm1_cn1,296.68,4708.05,0.0
gfx1250,256,64,4096,8192,flydsl,148,1,8.3039,flydsl_blockscale_bpreshuffle_wmma_t32x64x1024_mw2_nw2_nb3_sk1_cm1_cn1,517.22,4167.08,0.0
gfx1250,256,128,4096,8192,flydsl,121,1,10.4591,flydsl_blockscale_bpreshuffle_wmma_t32x64x1024_mw2_nw2_nb3_sk1_cm1_cn1,821.29,3408.67,0.0
gfx1250,256,256,4096,8192,flydsl,320,1,14.6544,flydsl_blockscale_bpreshuffle_wmma_t128x64x512_mw2_nw2_nb3_sk1_cm1_cn1,1172.34,2575.93,0.0
gfx1250,256,512,4096,8192,flydsl,401,1,21.2625,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1615.98,1972.63,0.0
gfx1250,256,1024,4096,8192,flydsl,401,1,25.3082,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,2715.3,1988.75,0.0
gfx1250,256,2048,4096,8192,flydsl,401,1,33.6236,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4087.57,1995.89,0.0
gfx1250,256,4096,4096,8192,flydsl,401,1,61.8925,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4441.22,1626.42,0.0
gfx1250,256,8192,4096,8192,flydsl,401,1,112.6246,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4881.31,1489.66,0.0
gfx1250,256,16384,4096,8192,flydsl,401,1,215.0025,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,5113.95,1404.59,0.0
gfx1250,256,32768,4096,8192,flydsl,401,1,477.0305,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4609.82,1195.78,0.0
gfx1250,256,16,4096,2048,flydsl,9,1,3.7073,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb2_sk1_cm1_cn1,72.41,2306.92,0.0
gfx1250,256,32,4096,2048,flydsl,86,1,3.8106,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb2_sk1_cm1_cn1,140.89,2287.38,0.0
gfx1250,256,64,4096,2048,flydsl,84,1,4.166,flydsl_blockscale_bpreshuffle_wmma_t32x32x512_mw2_nw2_nb3_sk1_cm1_cn1,257.74,2170.9,0.0
gfx1250,256,128,4096,2048,flydsl,206,1,4.7358,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,453.46,2048.09,0.0
gfx1250,256,256,4096,2048,flydsl,220,1,5.5657,flydsl_blockscale_bpreshuffle_wmma_t64x64x512_mw2_nw2_nb3_sk1_cm1_cn1,771.69,1978.2,0.0
gfx1250,256,512,4096,2048,flydsl,301,1,7.2304,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1188.03,1885.3,0.0
gfx1250,256,1024,4096,2048,flydsl,301,1,9.8755,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,1739.65,1911.23,0.0
gfx1250,256,2048,4096,2048,flydsl,301,1,12.5131,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,2745.9,2346.35,0.0
gfx1250,256,4096,4096,2048,flydsl,301,1,18.4318,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3728.31,2730.7,0.0
gfx1250,256,8192,4096,2048,flydsl,301,1,33.4789,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,4105.24,2756.2,0.0
gfx1250,256,16384,4096,2048,flydsl,301,1,69.5116,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,3954.42,2534.26,0.0
gfx1250,256,32768,4096,2048,flydsl,301,1,130.5539,flydsl_blockscale_bpreshuffle_wmma_t256x256x256_mw2_nw2_nb2_sk1_cm1_cn1,4210.95,2634.41,0.0
gfx1250,256,16,4096,4096,flydsl,11,1,4.8236,flydsl_blockscale_bpreshuffle_wmma_t16x32x1024_mw1_nw2_nb4_sk1_cm1_cn1,111.3,3518.91,0.0
gfx1250,256,32,4096,4096,flydsl,87,1,4.7351,flydsl_blockscale_bpreshuffle_wmma_t32x32x1024_mw2_nw2_nb3_sk1_cm1_cn1,226.76,3626.2,0.0
gfx1250,256,64,4096,4096,flydsl,206,1,6.2966,flydsl_blockscale_bpreshuffle_wmma_t64x32x512_mw4_nw1_nb4_sk1_cm1_cn1,341.05,2789.39,0.0
gfx1250,256,128,4096,4096,flydsl,220,1,7.3873,flydsl_blockscale_bpreshuffle_wmma_t64x64x512_mw2_nw2_nb3_sk1_cm1_cn1,581.4,2484.0,0.0
gfx1250,256,256,4096,4096,flydsl,239,1,8.4429,flydsl_blockscale_bpreshuffle_wmma_t128x64x512_mw2_nw2_nb3_sk1_cm1_cn1,1017.42,2359.73,0.0
gfx1250,256,512,4096,4096,flydsl,401,1,26.7344,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,642.61,862.88,0.0
gfx1250,256,1024,4096,4096,flydsl,401,1,25.7227,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,1335.77,1141.41,0.0
gfx1250,256,2048,4096,4096,flydsl,401,1,27.3513,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,2512.48,1533.49,0.0
gfx1250,256,4096,4096,4096,flydsl,401,1,53.9348,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,2548.24,1244.26,0.0
gfx1250,256,8192,4096,4096,flydsl,401,1,75.7626,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,3628.15,1550.11,0.0
gfx1250,256,16384,4096,4096,flydsl,299,1,122.9699,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4470.65,1773.64,0.0
gfx1250,256,32768,4096,4096,flydsl,401,1,240.0343,flydsl_blockscale_bpreshuffle_wmma_t256x256x128_mw2_nw2_nb3_sk1_cm1_cn1,4580.64,1747.38,0.0
